51449,"Emily Thompson",31,False,99995,2,4,8,1,Yes,Yes,Yes,3,"Bachelor's",Support,"Customer Specialist",7.323290381117144,2.5244300724620468,0
25990,"Priya Wilson",38,True,99993,0,5,5,0,No,Yes,Yes,3,"Master's",Operations,"Ops Manager",10.0,5.532707465815575,0
26057,"Arun Smith",35,False,99963,1,0,6,1,No,Yes,Yes,3,"Bachelor's",Support,"Customer Specialist",10.0,1.0,0
43541,"Nina Singh",24,True,99961,1,0,7,1,Yes,Yes,Yes,3,"Master's",R&D,Scientist,10.0,2.984094214698667,0
10751,"Priya Thompson",43,False,99955,1,8,13,0,No,No,No,4,"Master's",R&D,Researcher,1.0,10.0,0
54027,"Ananya Anderson",21,True,99945,3,0,1,1,No,No,No,3,"Master's",Finance,Analyst,8.205448137647286,3.0757946946449026,0
44003,"David Iyer",43,False,99944,0,20,11,1,No,Yes,Yes,3,"Bachelor's",Operations,"Operations Coordinator",10.0,1.0,0
41898,"Karen Taylor",31,False,99941,3,3,8,0,Yes,Yes,Yes,3,"Bachelor's",Finance,"Senior Analyst",5.763538476741941,3.30127614559049,0
56458,"Luke Walker",26,False,99932,1,0,13,1,No,Yes,Yes,1,"Bachelor's",Support,"Customer Specialist",8.801048004572037,7.468573524663252,0
25096,"Kiran Thomas",30,False,99924,1,0,10,2,Yes,Yes,Yes,2,"Bachelor's",Support,"Customer Specialist",10.0,5.380157807756091,0
